Edge TPU Compiler version 16.0.384591198
Input: model_int8.tflite
Output: model_int8_edgetpu.tflite

Operator                       Count      Status

GATHER                         2          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
FULLY_CONNECTED                7          Mapped to Edge TPU
SUB                            1          Mapped to Edge TPU
MAXIMUM                        1          Mapped to Edge TPU
MUL                            1          Mapped to Edge TPU
STRIDED_SLICE                  2          Mapped to Edge TPU
CONV_2D                        6          Mapped to Edge TPU
MINIMUM                        1          Mapped to Edge TPU
RESHAPE                        1          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESHAPE                        4          Mapped to Edge TPU
CONCATENATION                  1          Mapped to Edge TPU
TRANSPOSE                      2          Mapped to Edge TPU
